stm_sap_meld_ddt,stm_geo_mld,stm_prioriteit,stm_aanngeb_dd,stm_oorz_groep,stm_oorz_code,stm_contractgeb_gst,stm_techn_gst,stm_progfh_in_duur,stm_fh_status,stm_progfh_t_fh
1136199099.0,63,4.0,1136160000.0,0,145.0,26.0,66,18.0,1.0,18.0
1136199186.0,950,4.0,1136160000.0,2,215.0,4.0,83,47.0,1.0,21.0
1136202593.0,531,4.0,1136160000.0,1,135.0,13.0,84,75.0,1.0,75.0
1136202900.0,950,2.0,1136160000.0,1,133.0,4.0,83,134.0,1.0,141.0
1136202977.0,606,2.0,1136160000.0,2,213.0,32.0,83,15.0,2.0,5.0
1136203058.0,143,4.0,1136160000.0,1,133.0,2.0,66,40.0,1.0,44.0
1136203112.0,531,4.0,1136160000.0,2,213.0,13.0,84,60.0,1.0,60.0
1136203555.0,550,2.0,1136160000.0,0,151.0,36.0,66,69.0,2.0,13.0
1136204219.0,560,4.0,1136160000.0,2,213.0,2.0,84,90.0,1.0,90.0
1136204363.0,543,4.0,1136160000.0,2,230.0,32.0,83,77.0,2.0,77.0
1136204760.0,503,2.0,1136160000.0,0,146.0,31.0,66,14.0,1.0,14.0
1136206256.0,305,4.0,1136160000.0,2,221.0,35.0,66,60.0,1.0,16.0
1136206440.0,100,2.0,1136160000.0,1,133.0,14.0,66,54.0,1.0,41.0
1136208710.0,52,2.0,1136160000.0,2,215.0,27.0,83,42.0,1.0,67.0
1136209683.0,34,4.0,1136160000.0,2,215.0,30.0,83,18.0,1.0,10.0
1136209738.0,950,2.0,1136160000.0,2,222.0,4.0,83,27.0,1.0,72.0
1136210143.0,128,4.0,1136160000.0,1,132.0,11.0,66,240.0,1.0,180.0
1136210570.0,135,2.0,1136160000.0,2,225.0,11.0,83,30.0,1.0,10.0
1136213309.0,516,2.0,1136160000.0,0,145.0,27.0,83,20.0,1.0,30.0
1136214431.0,517,2.0,1136160000.0,0,144.0,27.0,66,45.0,1.0,32.0
1136214961.0,531,2.0,1136160000.0,2,240.0,13.0,66,62.0,1.0,16.0
1136215480.0,506,2.0,1136160000.0,2,225.0,12.0,83,40.0,1.0,40.0
1136216250.0,212,2.0,1136160000.0,0,145.0,30.0,83,23.0,1.0,15.0
1136217553.0,200,2.0,1136160000.0,0,145.0,37.0,83,15.0,1.0,17.0
1136218558.0,80,4.0,1136160000.0,2,221.0,10.0,84,180.0,1.0,60.0
1136218565.0,80,4.0,1136160000.0,2,230.0,10.0,84,180.0,1.0,45.0
1136218606.0,564,2.0,1136160000.0,2,215.0,2.0,83,86.0,1.0,41.0
1136218656.0,950,5.0,1136160000.0,2,215.0,4.0,83,20.0,1.0,10.0
1136219681.0,93,5.0,1136160000.0,2,221.0,13.0,83,26.0,1.0,26.0
1136221081.0,589,2.0,1136160000.0,0,149.0,10.0,69,22.0,1.0,22.0
1136221810.0,11,5.0,1136160000.0,1,133.0,35.0,69,12.0,1.0,10.0
1136223023.0,950,4.0,1136160000.0,2,215.0,4.0,83,15.0,1.0,8.0
1136223548.0,950,4.0,1136160000.0,2,215.0,4.0,83,30.0,1.0,31.0
1136223951.0,950,2.0,1136160000.0,2,215.0,4.0,83,65.0,2.0,192.0
1136224333.0,535,4.0,1136160000.0,2,241.0,10.0,84,360.0,1.0,30.0
1136224451.0,535,4.0,1136160000.0,2,221.0,10.0,84,330.0,1.0,120.0
1136224654.0,526,4.0,1136160000.0,2,213.0,10.0,84,225.0,1.0,75.0
1136226300.0,135,4.0,1136160000.0,2,213.0,11.0,84,60.0,1.0,30.0
1136226900.0,503,2.0,1136160000.0,0,146.0,31.0,66,34.0,2.0,24.0
1136233726.0,55,2.0,1136160000.0,2,219.0,24.0,66,95.0,1.0,65.0
1136236527.0,950,5.0,1136160000.0,2,215.0,4.0,83,20.0,1.0,14.0
1136241513.0,28,2.0,1136160000.0,3,186.0,32.0,66,30.0,2.0,50.0
1136248620.0,534,5.0,1136246400.0,3,183.0,1.0,66,30.0,1.0,16.0
1136248800.0,91,2.0,1136246400.0,0,140.0,12.0,66,60.0,2.0,46.0
1136249040.0,54,2.0,1136246400.0,3,183.0,23.0,66,135.0,1.0,101.0
1136250032.0,210,2.0,1136246400.0,0,147.0,30.0,83,27.0,2.0,27.0
1136251168.0,533,2.0,1136246400.0,2,221.0,14.0,66,75.0,1.0,130.0
1136258751.0,104,2.0,1136246400.0,3,183.0,1.0,66,30.0,1.0,20.0
1136259180.0,208,2.0,1136246400.0,0,147.0,31.0,83,20.0,1.0,20.0
1136260487.0,212,5.0,1136246400.0,2,221.0,30.0,69,30.0,1.0,30.0
1136260933.0,73,4.0,1136246400.0,2,298.0,6.0,83,37.0,1.0,37.0
1136262180.0,133,2.0,1136246400.0,1,135.0,8.0,66,16.0,1.0,16.0
1136262436.0,586,4.0,1136246400.0,1,132.0,9.0,66,50.0,1.0,48.0
1136262703.0,534,2.0,1136246400.0,3,186.0,1.0,66,60.0,1.0,141.0
1136263390.0,533,2.0,1136246400.0,2,227.0,14.0,66,120.0,2.0,130.0
1136264752.0,586,2.0,1136246400.0,2,230.0,9.0,66,25.0,1.0,20.0
1136265851.0,203,2.0,1136246400.0,3,183.0,34.0,66,45.0,1.0,28.0
1136267628.0,12,2.0,1136246400.0,3,183.0,35.0,66,46.0,1.0,30.0
1136267819.0,614,2.0,1136246400.0,3,186.0,21.0,66,91.0,1.0,131.0
1136269020.0,614,2.0,1136246400.0,2,221.0,21.0,66,40.0,1.0,55.0
1136269905.0,531,2.0,1136246400.0,1,133.0,13.0,66,21.0,1.0,21.0
1136269920.0,63,2.0,1136246400.0,1,135.0,26.0,66,90.0,2.0,25.0
1136270810.0,54,2.0,1136246400.0,3,186.0,23.0,66,40.0,1.0,10.0
1136270940.0,137,2.0,1136246400.0,2,240.0,17.0,69,53.0,2.0,53.0
1136271772.0,553,4.0,1136246400.0,2,221.0,25.0,66,70.0,1.0,125.0
1136272020.0,475,1.0,1136246400.0,0,144.0,4.0,66,60.0,1.0,38.0
1136272380.0,143,5.0,1136246400.0,2,215.0,2.0,83,63.0,1.0,125.0
1136274065.0,76,4.0,1136246400.0,2,213.0,7.0,83,23.0,1.0,23.0
1136274142.0,115,2.0,1136246400.0,3,186.0,3.0,66,30.0,1.0,130.0
1136274180.0,551,2.0,1136246400.0,2,221.0,20.0,66,144.0,3.0,125.0
1136274351.0,664,5.0,1136246400.0,2,228.0,5.0,66,110.0,1.0,65.0
1136274428.0,525,2.0,1136246400.0,2,230.0,9.0,66,285.0,1.0,465.0
1136275305.0,115,2.0,1136246400.0,3,183.0,3.0,66,32.0,1.0,17.0
1136275336.0,555,2.0,1136246400.0,3,186.0,3.0,66,178.0,1.0,153.0
1136275656.0,63,2.0,1136246400.0,2,221.0,26.0,84,90.0,1.0,98.0
1136275740.0,53,2.0,1136246400.0,0,145.0,21.0,83,105.0,1.0,90.0
1136275755.0,950,2.0,1136246400.0,2,227.0,4.0,66,60.0,1.0,30.0
1136275841.0,950,2.0,1136246400.0,2,227.0,4.0,66,410.0,2.0,15.0
1136275931.0,950,2.0,1136246400.0,2,227.0,4.0,66,60.0,1.0,30.0
1136276052.0,538,2.0,1136246400.0,3,186.0,2.0,66,52.0,1.0,52.0
1136276243.0,508,4.0,1136246400.0,2,221.0,30.0,83,130.0,1.0,131.0
1136276886.0,510,5.0,1136246400.0,2,221.0,28.0,66,210.0,1.0,85.0
1136277147.0,924,2.0,1136246400.0,2,228.0,4.0,66,35.0,1.0,10.0
1136277360.0,137,2.0,1136246400.0,2,213.0,17.0,66,11.0,2.0,11.0
1136277523.0,116,2.0,1136246400.0,3,183.0,5.0,83,40.0,1.0,20.0
1136278612.0,924,2.0,1136246400.0,2,228.0,4.0,66,50.0,1.0,15.0
1136278822.0,586,4.0,1136246400.0,2,221.0,9.0,66,120.0,1.0,30.0
1136279272.0,950,4.0,1136246400.0,3,184.0,4.0,71,30.0,1.0,30.0
1136279940.0,506,2.0,1136246400.0,0,150.0,12.0,66,60.0,2.0,84.0
1136280218.0,506,4.0,1136246400.0,2,214.0,12.0,84,45.0,1.0,45.0
1136281479.0,585,4.0,1136246400.0,2,221.0,11.0,83,60.0,1.0,125.0
1136281692.0,555,2.0,1136246400.0,3,183.0,3.0,83,33.0,1.0,18.0
1136282220.0,545,2.0,1136246400.0,2,215.0,19.0,83,30.0,1.0,28.0
1136282517.0,120,2.0,1136246400.0,2,221.0,19.0,69,86.0,1.0,33.0
1136283448.0,563,5.0,1136246400.0,3,186.0,2.0,66,135.0,1.0,113.0
1136283600.0,624,2.0,1136246400.0,3,183.0,81.0,83,30.0,2.0,30.0
1136283995.0,924,4.0,1136246400.0,2,221.0,4.0,83,90.0,1.0,60.0
1136284114.0,555,2.0,1136246400.0,3,186.0,3.0,66,30.0,1.0,10.0
1136284232.0,664,2.0,1136246400.0,2,213.0,5.0,83,270.0,1.0,80.0
1136285824.0,533,4.0,1136246400.0,2,221.0,14.0,66,15.0,1.0,15.0
1136286539.0,555,2.0,1136246400.0,3,183.0,3.0,66,60.0,1.0,60.0
1136287572.0,555,2.0,1136246400.0,3,183.0,3.0,66,60.0,1.0,60.0
1136288280.0,128,4.0,1136246400.0,2,221.0,11.0,66,197.0,1.0,48.0
1136288911.0,118,2.0,1136246400.0,0,149.0,5.0,83,40.0,1.0,15.0
1136288968.0,531,2.0,1136246400.0,2,240.0,13.0,66,20.0,1.0,20.0
1136289240.0,542,1.0,1136246400.0,0,149.0,5.0,69,267.0,1.0,177.0
1136289630.0,52,2.0,1136246400.0,0,145.0,27.0,83,99.0,1.0,60.0
1136289896.0,913,4.0,1136246400.0,2,221.0,35.0,66,127.0,1.0,119.0
1136290980.0,24,5.0,1136246400.0,0,140.0,31.0,83,33.0,1.0,33.0
1136291772.0,603,5.0,1136246400.0,2,227.0,34.0,66,254.0,1.0,254.0
1136292720.0,63,2.0,1136246400.0,2,241.0,26.0,66,19.0,1.0,19.0
1136292741.0,555,4.0,1136246400.0,3,183.0,3.0,66,60.0,1.0,55.0
1136292900.0,514,2.0,1136246400.0,2,221.0,28.0,83,61.0,2.0,14.0
1136293270.0,517,2.0,1136246400.0,2,221.0,27.0,69,121.0,1.0,81.0
1136293340.0,139,2.0,1136246400.0,1,133.0,9.0,83,125.0,1.0,5.0
1136297835.0,586,2.0,1136246400.0,1,133.0,9.0,83,60.0,1.0,25.0
1136298360.0,118,5.0,1136246400.0,1,133.0,5.0,69,45.0,1.0,45.0
1136299080.0,1,4.0,1136246400.0,0,146.0,36.0,83,31.0,1.0,11.0
1136299380.0,586,2.0,1136246400.0,2,213.0,9.0,84,45.0,1.0,40.0
1136300257.0,63,4.0,1136246400.0,0,145.0,26.0,66,89.0,1.0,63.0
1136307095.0,586,2.0,1136246400.0,3,181.0,9.0,84,60.0,1.0,50.0
1136307240.0,504,4.0,1138924800.0,2,215.0,26.0,84,150.0,1.0,139.0
1136308260.0,57,2.0,1136246400.0,2,215.0,24.0,83,20.0,1.0,27.0
1136309049.0,620,2.0,1136246400.0,2,218.0,7.0,84,90.0,1.0,90.0
1136309554.0,550,4.0,1136246400.0,0,151.0,36.0,69,33.0,1.0,46.0
1136309674.0,508,4.0,1136246400.0,2,221.0,30.0,84,60.0,1.0,60.0
1136310840.0,589,2.0,1136246400.0,3,181.0,10.0,69,77.0,1.0,11.0
1136311099.0,603,4.0,1136246400.0,2,225.0,34.0,66,92.0,2.0,77.0
1136311190.0,144,2.0,1136246400.0,3,181.0,10.0,69,60.0,2.0,54.0
1136311620.0,201,5.0,1136246400.0,2,221.0,37.0,83,121.0,1.0,46.0
1136312100.0,17,1.0,1136246400.0,3,185.0,33.0,75,60.0,1.0,52.0
1136312767.0,924,2.0,1136246400.0,0,149.0,4.0,75,150.0,1.0,90.0
1136316124.0,588,2.0,1136246400.0,2,213.0,9.0,69,62.0,1.0,42.0
1136316843.0,606,2.0,1136246400.0,2,221.0,32.0,75,61.0,2.0,61.0
1136316941.0,586,2.0,1136246400.0,2,213.0,9.0,83,45.0,1.0,30.0
1136318252.0,87,2.0,1136246400.0,2,225.0,12.0,83,45.0,1.0,19.0
1136320118.0,34,2.0,1136246400.0,2,221.0,30.0,83,123.0,2.0,100.0
1136320260.0,135,2.0,1136246400.0,2,221.0,11.0,66,173.0,1.0,173.0
1136320260.0,603,2.0,1136246400.0,2,221.0,34.0,66,18.0,1.0,9.0
1136322913.0,206,2.0,1136246400.0,3,186.0,33.0,66,66.0,1.0,66.0
1136323020.0,603,2.0,1136246400.0,3,183.0,34.0,66,36.0,1.0,40.0
1136323450.0,206,2.0,1136246400.0,3,186.0,33.0,66,52.0,3.0,34.0
1136323545.0,924,5.0,1136246400.0,0,147.0,4.0,83,53.0,1.0,40.0
1136324639.0,133,2.0,1136246400.0,3,183.0,8.0,83,208.0,1.0,208.0
1136326518.0,603,2.0,1136246400.0,0,150.0,34.0,66,60.0,1.0,38.0
1136326613.0,31,2.0,1136246400.0,2,221.0,32.0,66,31.0,1.0,31.0
1136328636.0,525,2.0,1136246400.0,2,211.0,9.0,66,179.0,1.0,174.0
1136329952.0,135,2.0,1136246400.0,2,214.0,11.0,66,20.0,2.0,28.0
1136330340.0,589,2.0,1136246400.0,2,221.0,10.0,66,30.0,1.0,30.0
1136330423.0,817,2.0,1136246400.0,2,221.0,18.0,66,90.0,1.0,85.0
1136330700.0,27,2.0,1136246400.0,2,221.0,10.0,66,15.0,1.0,20.0
1136330820.0,18,2.0,1136246400.0,2,218.0,31.0,83,16.0,3.0,13.0
1136331600.0,927,2.0,1136246400.0,2,221.0,11.0,66,61.0,2.0,52.0
1136332062.0,27,2.0,1136246400.0,3,183.0,10.0,83,10.0,2.0,10.0
1136332705.0,486,5.0,1136246400.0,3,183.0,9.0,66,45.0,1.0,40.0
1136333137.0,127,2.0,1136332800.0,0,145.0,18.0,83,60.0,1.0,50.0
1136334253.0,163,4.0,1136332800.0,2,212.0,3.0,84,60.0,1.0,63.0
1136337800.0,501,5.0,1136332800.0,2,215.0,37.0,69,126.0,2.0,24.0
1136360283.0,55,2.0,1136332800.0,2,221.0,27.0,83,60.0,1.0,50.0
1136361420.0,100,2.0,1136332800.0,2,209.0,14.0,66,132.0,1.0,162.0
1136361631.0,950,5.0,1136332800.0,0,145.0,4.0,66,31.0,1.0,30.0
1136363640.0,506,2.0,1136332800.0,2,227.0,12.0,83,60.0,1.0,123.0
1136363880.0,216,4.0,1136332800.0,0,143.0,6.0,66,10.0,1.0,16.0
1136365680.0,133,4.0,1136332800.0,2,221.0,8.0,84,40.0,1.0,45.0
1136365740.0,133,4.0,1136332800.0,2,230.0,8.0,84,40.0,1.0,43.0
1136367120.0,612,2.0,1136332800.0,2,221.0,29.0,83,60.0,1.0,124.0
1136367780.0,127,2.0,1136332800.0,0,143.0,18.0,66,47.0,1.0,32.0
1136368364.0,613,5.0,1136332800.0,2,221.0,29.0,84,26.0,1.0,26.0
1136369158.0,501,2.0,1136332800.0,2,221.0,37.0,66,120.0,1.0,169.0
1136369244.0,9,5.0,1136332800.0,2,221.0,36.0,84,55.0,1.0,41.0
1136371260.0,527,2.0,1136332800.0,1,135.0,8.0,83,21.0,1.0,21.0
1136372580.0,79,5.0,1136332800.0,1,133.0,6.0,66,30.0,1.0,30.0
1136375040.0,531,4.0,1136332800.0,2,213.0,13.0,84,61.0,1.0,75.0
1136376171.0,519,4.0,1136332800.0,2,221.0,25.0,83,45.0,1.0,30.0
1136376613.0,73,5.0,1136332800.0,2,212.0,6.0,69,21.0,1.0,21.0
1136379000.0,625,2.0,1136332800.0,2,221.0,19.0,83,125.0,1.0,120.0
1136379407.0,606,2.0,1136332800.0,2,218.0,31.0,83,93.0,1.0,123.0
1136380590.0,503,2.0,1136332800.0,2,218.0,31.0,83,88.0,1.0,56.0
1136381880.0,206,5.0,1136332800.0,2,215.0,33.0,83,101.0,1.0,15.0
1136381940.0,506,2.0,1136332800.0,2,227.0,12.0,83,90.0,2.0,62.0
1136382839.0,21,2.0,1136332800.0,0,146.0,29.0,66,15.0,1.0,5.0
1136385574.0,210,2.0,1136332800.0,0,140.0,30.0,83,85.0,1.0,80.0
1136385900.0,618,2.0,1136332800.0,2,218.0,24.0,69,60.0,1.0,60.0
1136386980.0,54,2.0,1136332800.0,2,218.0,23.0,69,60.0,1.0,30.0
1136386980.0,35,5.0,1136332800.0,0,145.0,15.0,66,11.0,1.0,11.0
1136389226.0,950,2.0,1136332800.0,0,146.0,4.0,83,30.0,1.0,13.0
1136390160.0,73,2.0,1136332800.0,0,151.0,6.0,69,18.0,2.0,18.0
1136391060.0,10,5.0,1136332800.0,2,215.0,35.0,83,45.0,1.0,16.0
1136392080.0,555,4.0,1136332800.0,2,215.0,5.0,75,120.0,1.0,90.0
1136392206.0,34,4.0,1136332800.0,2,213.0,30.0,84,90.0,1.0,90.0
1136401535.0,67,2.0,1136332800.0,2,221.0,26.0,83,23.0,1.0,20.0
1136402754.0,23,2.0,1136332800.0,2,215.0,31.0,83,102.0,2.0,112.0
1136409900.0,43,4.0,1136332800.0,0,145.0,22.0,66,40.0,1.0,40.0
1136412299.0,212,2.0,1136332800.0,2,215.0,30.0,83,14.0,1.0,14.0
1136422020.0,536,5.0,1136419200.0,2,203.0,2.0,66,60.0,1.0,210.0
1136423340.0,950,2.0,1136419200.0,2,220.0,4.0,83,90.0,1.0,34.0
1136425260.0,550,4.0,1136419200.0,2,215.0,36.0,75,124.0,1.0,20.0
1136427180.0,73,2.0,1136419200.0,0,149.0,6.0,69,39.0,2.0,35.0
1136442060.0,506,2.0,1136419200.0,2,227.0,12.0,66,60.0,2.0,18.0
1136443620.0,803,5.0,1136419200.0,1,133.0,37.0,83,60.0,1.0,31.0
1136443860.0,530,5.0,1136419200.0,0,143.0,12.0,66,31.0,1.0,17.0
1136446440.0,143,5.0,1136419200.0,1,133.0,2.0,66,7.0,1.0,7.0
1136448840.0,98,2.0,1136419200.0,2,218.0,14.0,83,170.0,2.0,170.0
1136450760.0,144,2.0,1136419200.0,1,135.0,10.0,66,60.0,1.0,49.0
1136454960.0,814,4.0,1136419200.0,0,140.0,26.0,66,75.0,1.0,60.0
1136456520.0,75,2.0,1136419200.0,0,145.0,7.0,83,26.0,1.0,25.0
1136456880.0,603,4.0,1136419200.0,2,221.0,34.0,66,39.0,1.0,39.0
1136457660.0,653,5.0,1136419200.0,2,221.0,35.0,83,91.0,2.0,64.0
1136457720.0,54,2.0,1136419200.0,2,241.0,23.0,83,60.0,1.0,157.0
1136458680.0,87,4.0,1136419200.0,2,228.0,11.0,83,61.0,2.0,48.0
1136460420.0,73,4.0,1136419200.0,2,218.0,6.0,83,60.0,1.0,60.0
1136460660.0,96,4.0,1136419200.0,2,227.0,10.0,66,330.0,2.0,210.0
1136461380.0,33,4.0,1136419200.0,0,143.0,30.0,66,60.0,1.0,60.0
1136463780.0,586,2.0,1136419200.0,2,221.0,9.0,84,60.0,2.0,90.0
1136466720.0,600,4.0,1136419200.0,0,145.0,37.0,66,88.0,1.0,75.0
1136466960.0,603,5.0,1136419200.0,2,221.0,34.0,75,57.0,1.0,22.0
1136468100.0,116,5.0,1136419200.0,2,221.0,5.0,75,360.0,2.0,360.0
1136468700.0,79,4.0,1136419200.0,0,150.0,6.0,66,120.0,1.0,113.0
1136470080.0,478,4.0,1136419200.0,2,221.0,4.0,69,45.0,1.0,40.0
1136470740.0,586,4.0,1136419200.0,2,213.0,9.0,84,300.0,1.0,60.0
1136470800.0,133,4.0,1136419200.0,2,218.0,8.0,84,15.0,1.0,15.0
1136470920.0,133,4.0,1136419200.0,2,221.0,8.0,84,15.0,1.0,15.0
1136473860.0,535,2.0,1136419200.0,1,135.0,10.0,66,116.0,1.0,121.0
1136478960.0,102,2.0,1136419200.0,0,145.0,81.0,66,36.0,1.0,35.0
1136482860.0,89,2.0,1136419200.0,0,150.0,12.0,66,90.0,1.0,59.0
1136483040.0,137,2.0,1136419200.0,0,151.0,17.0,69,65.0,2.0,65.0
1136488920.0,543,5.0,1136419200.0,1,133.0,32.0,75,33.0,1.0,33.0
1136489520.0,5,5.0,1136419200.0,0,143.0,35.0,66,93.0,1.0,78.0
1136497560.0,13,2.0,1136419200.0,1,133.0,34.0,83,90.0,1.0,367.0
1136508840.0,609,2.0,1136505600.0,2,213.0,31.0,83,27.0,1.0,27.0
1136511480.0,608,5.0,1136505600.0,2,218.0,31.0,83,23.0,1.0,23.0
1136513700.0,62,2.0,1136505600.0,1,133.0,25.0,88,130.0,1.0,100.0
1136524740.0,116,5.0,1136505600.0,2,219.0,5.0,69,75.0,1.0,30.0
1136527140.0,87,1.0,1136505600.0,1,133.0,12.0,83,205.0,1.0,133.0
1136529720.0,149,2.0,1136505600.0,2,221.0,17.0,83,9.0,2.0,9.0
1136529960.0,550,2.0,1136505600.0,2,221.0,36.0,66,120.0,1.0,29.0
1136532180.0,837,5.0,1136505600.0,2,218.0,1.0,83,60.0,1.0,45.0
1136533380.0,603,5.0,1136505600.0,0,143.0,34.0,66,31.0,1.0,15.0
1136533440.0,103,4.0,1136505600.0,2,215.0,1.0,69,90.0,1.0,81.0
1136533920.0,103,4.0,1136505600.0,2,220.0,1.0,66,40.0,1.0,39.0
1136533980.0,26,4.0,1136505600.0,2,213.0,32.0,84,16.0,1.0,16.0
1136534820.0,801,4.0,1136505600.0,2,221.0,19.0,66,41.0,1.0,26.0
1136535060.0,2,5.0,1136505600.0,2,215.0,37.0,84,194.0,2.0,258.0
1136535900.0,116,4.0,1136505600.0,0,143.0,5.0,66,90.0,1.0,30.0
1136535960.0,211,4.0,1136505600.0,2,221.0,29.0,66,67.0,1.0,44.0
1136536320.0,624,2.0,1136505600.0,2,215.0,81.0,83,7.0,1.0,6.0
1136536800.0,135,4.0,1136505600.0,1,133.0,11.0,84,20.0,1.0,10.0
1136537820.0,535,2.0,1136505600.0,1,135.0,10.0,83,115.0,1.0,50.0
1136537880.0,211,4.0,1136505600.0,0,145.0,29.0,66,27.0,1.0,14.0
1136539200.0,525,2.0,1136505600.0,2,221.0,9.0,66,45.0,1.0,15.0
1136540040.0,107,2.0,1136505600.0,2,218.0,2.0,83,60.0,1.0,52.0
1136540460.0,217,5.0,1136505600.0,2,218.0,6.0,69,30.0,1.0,30.0
